[0.011, -0.016, 0.186, -22.935, 5.467, -158.788]   ===>   [0.024, 0.037, -0.165],  actual: [0.024, 0.037, -0.164]  (mse: 0.000001)
[-0.030, -0.016, 0.195, -69.573, 15.774, -174.901]   ===>   [0.067, 0.044, -0.169],  actual: [0.067, 0.044, -0.169]  (mse: 0.000000)
[-0.031, -0.023, 0.187, -88.328, 17.310, -172.370]   ===>   [0.069, 0.036, -0.169],  actual: [0.069, 0.036, -0.169]  (mse: 0.000000)
[0.020, -0.035, 0.189, 22.556, 0.380, -171.093]   ===>   [0.017, 0.019, -0.162],  actual: [0.017, 0.019, -0.162]  (mse: 0.000001)
[-0.008, -0.021, 0.186, 17.450, -8.241, -168.720]   ===>   [0.043, 0.035, -0.168],  actual: [0.042, 0.036, -0.167]  (mse: 0.000001)
[0.017, -0.044, 0.198, -6.742, -7.941, -172.563]   ===>   [0.020, 0.012, -0.163],  actual: [0.021, 0.012, -0.164]  (mse: 0.000001)
[-0.029, -0.044, 0.184, 1.425, 15.515, -163.743]   ===>   [0.070, 0.016, -0.167],  actual: [0.070, 0.016, -0.167]  (mse: 0.000000)
[-0.006, -0.005, 0.181, -45.627, 13.384, -150.359]   ===>   [0.040, 0.050, -0.166],  actual: [0.039, 0.050, -0.165]  (mse: 0.000001)
[0.008, -0.027, 0.184, 38.324, 11.233, -151.707]   ===>   [0.029, 0.027, -0.163],  actual: [0.029, 0.025, -0.164]  (mse: 0.000003)
[-0.015, -0.017, 0.174, -3.428, -5.702, -157.191]   ===>   [0.051, 0.040, -0.168],  actual: [0.050, 0.039, -0.167]  (mse: 0.000001)
[0.018, -0.031, 0.192, 77.322, -7.835, 176.205]   ===>   [0.022, 0.023, -0.163],  actual: [0.018, 0.021, -0.165]  (mse: 0.000025)
[-0.029, -0.045, 0.189, 61.474, 1.359, -164.824]   ===>   [0.070, 0.013, -0.167],  actual: [0.069, 0.013, -0.168]  (mse: 0.000001)
[0.008, -0.017, 0.186, -30.352, -11.936, -177.018]   ===>   [0.025, 0.039, -0.166],  actual: [0.025, 0.040, -0.165]  (mse: 0.000001)
[-0.009, -0.021, 0.179, -5.831, 13.753, -152.679]   ===>   [0.047, 0.034, -0.166],  actual: [0.047, 0.035, -0.167]  (mse: 0.000000)
[-0.007, -0.043, 0.192, -78.688, 8.044, -171.239]   ===>   [0.046, 0.015, -0.167],  actual: [0.046, 0.014, -0.167]  (mse: 0.000000)
[0.014, -0.042, 0.195, -53.670, 8.177, -156.711]   ===>   [0.023, 0.014, -0.162],  actual: [0.023, 0.014, -0.163]  (mse: 0.000001)
[0.022, 0.006, 0.184, -24.682, -18.735, -172.914]   ===>   [0.008, 0.062, -0.160],  actual: [0.007, 0.062, -0.159]  (mse: 0.000002)
[0.023, -0.028, 0.186, 14.930, -14.575, -171.454]   ===>   [0.012, 0.024, -0.162],  actual: [0.011, 0.025, -0.161]  (mse: 0.000002)
[-0.019, -0.032, 0.179, -83.822, 2.793, -155.617]   ===>   [0.055, 0.026, -0.169],  actual: [0.055, 0.026, -0.167]  (mse: 0.000005)
[-0.031, -0.034, 0.186, -60.245, 7.552, -162.549]   ===>   [0.069, 0.027, -0.170],  actual: [0.069, 0.027, -0.168]  (mse: 0.000002)
[0.014, 0.011, 0.167, -83.229, 2.975, -158.913]   ===>   [0.015, 0.069, -0.161],  actual: [0.014, 0.070, -0.160]  (mse: 0.000001)
[-0.017, -0.040, 0.184, -86.265, 0.427, -166.226]   ===>   [0.054, 0.018, -0.168],  actual: [0.054, 0.019, -0.168]  (mse: 0.000000)
[0.025, -0.041, 0.197, 31.778, 5.155, -169.231]   ===>   [0.014, 0.013, -0.161],  actual: [0.014, 0.013, -0.161]  (mse: 0.000000)
[0.010, -0.041, 0.192, -20.698, 1.840, -160.074]   ===>   [0.027, 0.014, -0.163],  actual: [0.027, 0.015, -0.163]  (mse: 0.000000)
[0.013, -0.043, 0.195, -4.073, -10.589, -169.128]   ===>   [0.023, 0.013, -0.163],  actual: [0.024, 0.013, -0.163]  (mse: 0.000001)
[0.004, 0.007, 0.176, 37.891, -10.177, -177.621]   ===>   [0.026, 0.065, -0.165],  actual: [0.025, 0.065, -0.162]  (mse: 0.000009)
[-0.005, -0.027, 0.184, 1.385, -9.140, -164.346]   ===>   [0.041, 0.029, -0.167],  actual: [0.039, 0.029, -0.166]  (mse: 0.000002)
[-0.004, 0.003, 0.179, -17.299, 20.051, -154.030]   ===>   [0.038, 0.058, -0.166],  actual: [0.039, 0.059, -0.166]  (mse: 0.000000)
[0.023, -0.029, 0.186, 69.530, -8.178, -171.823]   ===>   [0.014, 0.022, -0.162],  actual: [0.013, 0.022, -0.162]  (mse: 0.000002)
[-0.029, -0.041, 0.184, -16.958, -5.656, -155.516]   ===>   [0.068, 0.017, -0.168],  actual: [0.068, 0.017, -0.168]  (mse: 0.000000)
[-0.018, -0.037, 0.195, 73.817, 7.344, 173.620]   ===>   [0.056, 0.022, -0.167],  actual: [0.053, 0.022, -0.166]  (mse: 0.000011)
[-0.006, -0.016, 0.174, -8.428, -4.634, -159.737]   ===>   [0.041, 0.039, -0.167],  actual: [0.041, 0.039, -0.166]  (mse: 0.000001)
