[-0.003, -0.040, 0.189, -44.983, -4.657, -166.372]   ===>   [0.039, 0.017, -0.167],  actual: [0.039, 0.017, -0.166]  (mse: 0.000002)
[-0.027, -0.037, 0.176, 19.463, -10.129, -172.970]   ===>   [0.065, 0.020, -0.168],  actual: [0.066, 0.019, -0.170]  (mse: 0.000003)
[0.026, -0.037, 0.186, 4.497, 0.783, -156.649]   ===>   [0.011, 0.015, -0.161],  actual: [0.011, 0.014, -0.161]  (mse: 0.000001)
[0.009, -0.043, 0.195, -71.925, 9.072, -167.919]   ===>   [0.029, 0.014, -0.165],  actual: [0.029, 0.014, -0.163]  (mse: 0.000001)
[0.025, -0.041, 0.191, 53.006, -4.525, -168.199]   ===>   [0.014, 0.012, -0.161],  actual: [0.013, 0.011, -0.161]  (mse: 0.000002)
[0.011, -0.007, 0.174, -73.359, 23.588, -175.919]   ===>   [0.024, 0.047, -0.164],  actual: [0.024, 0.046, -0.165]  (mse: 0.000000)
[-0.006, -0.020, 0.184, 56.189, -4.203, -172.711]   ===>   [0.039, 0.035, -0.167],  actual: [0.040, 0.035, -0.167]  (mse: 0.000000)
[0.022, -0.010, 0.190, 0.799, -2.638, -167.401]   ===>   [0.010, 0.045, -0.163],  actual: [0.011, 0.045, -0.161]  (mse: 0.000004)
[0.019, -0.001, 0.187, -23.825, -7.704, -156.780]   ===>   [0.010, 0.053, -0.161],  actual: [0.010, 0.054, -0.160]  (mse: 0.000003)
[-0.009, -0.042, 0.201, 49.542, 5.529, -163.497]   ===>   [0.046, 0.016, -0.168],  actual: [0.046, 0.015, -0.167]  (mse: 0.000002)
[0.004, 0.008, 0.178, -38.276, -3.660, -163.408]   ===>   [0.026, 0.066, -0.164],  actual: [0.025, 0.067, -0.164]  (mse: 0.000001)
[0.011, -0.013, 0.189, 55.650, 3.510, -168.298]   ===>   [0.022, 0.041, -0.165],  actual: [0.022, 0.041, -0.165]  (mse: 0.000000)
