[-0.003, -0.002, 0.184, -11.910, -10.210, -166.432]   ===>   [0.034, 0.057, -0.164],  actual: [0.034, 0.056, -0.165]  (mse: 0.000004)
[0.005, -0.019, 0.179, -28.330, -4.635, -164.438]   ===>   [0.029, 0.036, -0.165],  actual: [0.029, 0.035, -0.165]  (mse: 0.000002)
[0.014, -0.042, 0.195, -53.670, 8.177, -156.711]   ===>   [0.023, 0.015, -0.163],  actual: [0.023, 0.014, -0.163]  (mse: 0.000001)
[-0.014, -0.021, 0.170, -44.801, 15.474, -154.364]   ===>   [0.052, 0.035, -0.166],  actual: [0.052, 0.035, -0.166]  (mse: 0.000000)
[-0.022, -0.030, 0.186, -46.711, 10.722, -147.975]   ===>   [0.060, 0.030, -0.168],  actual: [0.058, 0.029, -0.167]  (mse: 0.000006)
[-0.005, -0.040, 0.195, 51.583, -1.344, -162.782]   ===>   [0.042, 0.017, -0.168],  actual: [0.042, 0.016, -0.167]  (mse: 0.000002)
[0.009, -0.042, 0.198, 52.499, -2.388, -168.488]   ===>   [0.030, 0.013, -0.165],  actual: [0.030, 0.014, -0.164]  (mse: 0.000001)
[0.012, 0.002, 0.172, 32.901, -11.190, -169.421]   ===>   [0.019, 0.057, -0.162],  actual: [0.019, 0.056, -0.162]  (mse: 0.000001)
[-0.002, -0.004, 0.179, 31.033, -10.668, -169.879]   ===>   [0.033, 0.053, -0.165],  actual: [0.033, 0.052, -0.165]  (mse: 0.000002)
[-0.032, -0.035, 0.186, -26.149, 8.151, -150.416]   ===>   [0.069, 0.024, -0.168],  actual: [0.069, 0.025, -0.168]  (mse: 0.000000)
[0.021, 0.012, 0.178, -13.995, -1.230, -163.090]   ===>   [0.007, 0.068, -0.160],  actual: [0.008, 0.067, -0.159]  (mse: 0.000004)
[0.000, -0.041, 0.192, 52.316, -2.401, -170.843]   ===>   [0.037, 0.015, -0.166],  actual: [0.037, 0.015, -0.166]  (mse: 0.000000)
[-0.030, -0.003, 0.186, 1.394, 14.412, -147.501]   ===>   [0.065, 0.055, -0.169],  actual: [0.064, 0.056, -0.169]  (mse: 0.000003)
[0.006, -0.029, 0.187, 4.075, 3.262, -158.590]   ===>   [0.031, 0.025, -0.164],  actual: [0.030, 0.025, -0.164]  (mse: 0.000002)
[0.019, -0.035, 0.192, -46.589, 1.148, -156.495]   ===>   [0.017, 0.020, -0.163],  actual: [0.015, 0.020, -0.164]  (mse: 0.000006)
[0.008, -0.017, 0.189, 42.285, -4.601, -176.053]   ===>   [0.024, 0.037, -0.163],  actual: [0.025, 0.038, -0.164]  (mse: 0.000004)
[0.019, 0.008, 0.174, 18.614, -6.375, -174.040]   ===>   [0.011, 0.065, -0.160],  actual: [0.010, 0.064, -0.159]  (mse: 0.000002)
[-0.028, -0.043, 0.189, 11.060, -9.666, -155.548]   ===>   [0.064, 0.017, -0.168],  actual: [0.065, 0.015, -0.168]  (mse: 0.000003)
[-0.031, -0.003, 0.197, -69.926, 14.994, -174.227]   ===>   [0.064, 0.059, -0.169],  actual: [0.065, 0.057, -0.168]  (mse: 0.000007)
[0.012, -0.027, 0.186, -18.882, -5.834, -169.936]   ===>   [0.023, 0.027, -0.164],  actual: [0.023, 0.027, -0.165]  (mse: 0.000001)
[0.013, -0.028, 0.192, 26.596, 0.578, -166.036]   ===>   [0.022, 0.026, -0.165],  actual: [0.021, 0.027, -0.165]  (mse: 0.000002)
[0.018, -0.016, 0.184, -29.649, -6.311, -170.651]   ===>   [0.015, 0.039, -0.164],  actual: [0.015, 0.039, -0.164]  (mse: 0.000000)
[0.023, 0.013, 0.181, 17.365, -9.983, -169.136]   ===>   [0.007, 0.068, -0.159],  actual: [0.006, 0.068, -0.158]  (mse: 0.000001)
[-0.012, -0.017, 0.168, -46.117, 12.140, -154.070]   ===>   [0.050, 0.039, -0.166],  actual: [0.049, 0.040, -0.166]  (mse: 0.000001)
[0.021, -0.038, 0.189, -28.373, 9.795, -154.253]   ===>   [0.016, 0.016, -0.162],  actual: [0.015, 0.016, -0.161]  (mse: 0.000001)
[0.008, -0.015, 0.170, 74.934, -1.812, -157.735]   ===>   [0.026, 0.036, -0.164],  actual: [0.027, 0.036, -0.165]  (mse: 0.000002)
[-0.013, -0.034, 0.189, -25.340, 6.573, -154.857]   ===>   [0.049, 0.024, -0.166],  actual: [0.050, 0.024, -0.166]  (mse: 0.000002)
